timestamp,repositorio,tratamento,repeticao,sucesso,tempo_resposta_ms,tamanho_resposta_bytes
2026-06-24T18:57:04.680549,vuejs/vue,GraphQL,18,True,781.2460000004648,990
2026-06-24T18:57:10.406881,django/django,GraphQL,15,True,704.8828999995749,209
2026-06-24T18:57:11.414162,facebook/react,GraphQL,3,True,637.422400000105,801
2026-06-24T18:57:14.756769,angular/angular,GraphQL,2,True,640.2103999998872,925
2026-06-24T18:57:18.964459,vuejs/vue,GraphQL,17,True,600.7087999996656,990
2026-06-24T18:57:19.869302,microsoft/vscode,GraphQL,27,True,733.2085999996707,766
2026-06-24T18:57:24.375702,microsoft/vscode,GraphQL,15,True,822.8193999993891,766
2026-06-24T18:57:25.500261,django/django,GraphQL,0,True,668.5653000004095,209
2026-06-24T18:57:28.159476,microsoft/vscode,GraphQL,19,True,732.1087000000261,766
2026-06-24T18:57:30.939880,tensorflow/tensorflow,GraphQL,24,True,736.0146000000896,1006
2026-06-24T18:57:35.338121,rails/rails,GraphQL,24,True,553.1186999996862,936
2026-06-24T18:57:36.194451,rails/rails,GraphQL,18,True,703.8160000001881,936
2026-06-24T18:57:38.665290,vuejs/vue,GraphQL,14,True,555.4517999999007,990
2026-06-24T18:57:42.653789,rails/rails,GraphQL,1,True,687.9463000004762,936
2026-06-24T18:57:45.261289,torvalds/linux,GraphQL,13,True,663.7555999996039,176
2026-06-24T18:57:48.006258,pytorch/pytorch,GraphQL,28,True,567.7562999999282,1020
2026-06-24T18:57:48.877391,pytorch/pytorch,GraphQL,16,True,828.9052000000083,1020
2026-06-24T18:57:51.877691,tensorflow/tensorflow,GraphQL,26,True,525.62239999952,1006
2026-06-24T18:57:54.826393,torvalds/linux,GraphQL,21,True,619.7344000001976,176
2026-06-24T18:57:59.047057,rails/rails,GraphQL,5,True,724.0930999996635,936
2026-06-24T18:58:01.878323,rails/rails,GraphQL,26,True,789.5088000004762,936
2026-06-24T18:58:02.970751,torvalds/linux,GraphQL,7,True,633.3346999999776,176
